node_id,edges
99,"[(99, 130), (99, 180), (99, 2155), (99, 4234), (99, 4282), (99, 5213), (99, 7506), (99, 8036)]"
100,"[(100, 2313), (100, 5605), (100, 7340), (100, 7361)]"
101,"[(101, 2967), (101, 3011), (101, 3246), (101, 4162), (101, 5033), (101, 6074), (101, 6670), (101, 7917), (101, 8189), (101, 9029), (101, 9634)]"
102,"[(102, 1767), (102, 1955), (102, 2211), (102, 3931), (102, 4187), (102, 5526), (102, 7770), (102, 8972)]"
103,"[(103, 626), (103, 5376), (103, 5653), (103, 6497), (103, 9496)]"
104,"[(104, 517), (104, 798), (104, 6597), (104, 6992), (104, 7342)]"
105,"[(105, 386), (105, 790), (105, 1091), (105, 2252), (105, 3340), (105, 4160), (105, 4762), (105, 5098), (105, 6884), (105, 8251), (105, 8412)]"
106,"[(106, 3814), (106, 5616), (106, 6286), (106, 6408), (106, 6430)]"
107,"[(107, 2522), (107, 6292), (107, 6440), (107, 6692)]"
108,"[(108, 2018), (108, 3055), (108, 9104)]"
109,"[(109, 145), (109, 2666), (109, 4072), (109, 4694), (109, 5019), (109, 8169), (109, 9941)]"
110,"[(110, 1070), (110, 3469), (110, 4158), (110, 7913), (110, 8743)]"
111,"[(111, 1173), (111, 3749), (111, 4834), (111, 6063), (111, 7007), (111, 7043), (111, 9981)]"
112,"[(112, 2358), (112, 2475), (112, 3297), (112, 7164), (112, 7358), (112, 9649)]"
113,"[(113, 805), (113, 6722), (113, 7185), (113, 7285), (113, 8528), (113, 8830), (113, 9266)]"
114,"[(114, 1255), (114, 2300), (114, 4843), (114, 9847)]"
115,"[(115, 1212), (115, 3407), (115, 5659)]"
116,"[(116, 3819), (116, 6393)]"
117,"[(117, 3339), (117, 4659), (117, 6034), (117, 6322), (117, 8738), (117, 9801)]"
118,"[(118, 7998), (118, 8078), (118, 8833)]"
119,"[(119, 5224), (119, 6788), (119, 7179), (119, 9093)]"
120,"[(120, 9482)]"
121,"[(121, 4150)]"
122,"[(122, 542), (122, 5912), (122, 5998), (122, 8544), (122, 9343)]"
123,"[(123, 7), (123, 190), (123, 2173), (123, 3796), (123, 5120), (123, 5522), (123, 5911)]"
124,"[(124, 724), (124, 1439), (124, 1907), (124, 3173), (124, 7210), (124, 9899)]"
125,"[(125, 1085), (125, 2151)]"
126,"[(126, 1785), (126, 3300), (126, 6286), (126, 7866), (126, 9060), (126, 9235)]"
127,"[(127, 3295), (127, 8982)]"
128,"[(128, 3557), (128, 5873), (128, 5975), (128, 6167)]"
129,"[(129, 1461), (129, 7988), (129, 9349)]"
130,"[(130, 34), (130, 99), (130, 1701), (130, 3658), (130, 7020)]"
131,"[(131, 480), (131, 5013), (131, 6381)]"
132,"[(132, 3665), (132, 7856), (132, 9905)]"
133,"[(133, 620), (133, 1971), (133, 2176), (133, 5582), (133, 8980)]"
134,"[(134, 1219), (134, 4150), (134, 6232), (134, 6974), (134, 8058), (134, 8768), (134, 9998)]"
135,"[(135, 2376), (135, 5094), (135, 7375), (135, 8796), (135, 9166)]"
136,"[(136, 3429), (136, 5884), (136, 6778), (136, 8532), (136, 8785), (136, 8927)]"
137,"[(137, 1574), (137, 5631), (137, 9665)]"
138,"[(138, 3680), (138, 4495), (138, 5719), (138, 7156), (138, 7691)]"
139,"[(139, 919), (139, 3207), (139, 3801), (139, 9379)]"
140,"[(140, 586), (140, 875), (140, 5485), (140, 9834), (140, 9853)]"
141,"[(141, 2618), (141, 3470)]"
142,"[(142, 1929), (142, 4986), (142, 6093), (142, 7094), (142, 8187)]"
143,"[(143, 5038), (143, 5444), (143, 8140), (143, 8937), (143, 9804)]"
144,"[(144, 3478), (144, 4318), (144, 6298), (144, 8662)]"
145,"[(145, 109), (145, 503), (145, 3004), (145, 3160), (145, 3380)]"
146,"[(146, 586), (146, 2063), (146, 4658), (146, 8787)]"
147,"[(147, 223), (147, 376), (147, 1597), (147, 1975), (147, 2605), (147, 2684), (147, 6043), (147, 7200), (147, 8819), (147, 9534), (147, 9904)]"
148,"[(148, 1710), (148, 3046), (148, 3136), (148, 5347), (148, 9829)]"
149,"[(149, 3515), (149, 3701), (149, 4244), (149, 5510)]"
150,"[(150, 2263), (150, 4080), (150, 5425), (150, 5793)]"
151,"[(151, 5769), (151, 7941), (151, 8664)]"
152,"[(152, 570), (152, 1413), (152, 4659), (152, 7392), (152, 8051), (152, 9298), (152, 9532)]"
153,"[(153, 239), (153, 2797), (153, 3105), (153, 4027), (153, 6327), (153, 9071)]"
154,"[(154, 528), (154, 1523), (154, 4915), (154, 6926), (154, 8484), (154, 9443)]"
155,"[(155, 1126), (155, 1407), (155, 1514), (155, 3177), (155, 3552), (155, 4080)]"
156,"[(156, 87), (156, 2526), (156, 3606), (156, 4211), (156, 8332), (156, 8457)]"
157,"[(157, 577), (157, 1263), (157, 4867), (157, 6928)]"
158,"[(158, 1816), (158, 3693), (158, 3925), (158, 5355), (158, 5770), (158, 7374), (158, 7777)]"
159,"[(159, 1169), (159, 1906), (159, 6563), (159, 7045), (159, 7059)]"
160,"[(160, 3153), (160, 3533), (160, 7910), (160, 8172), (160, 9434), (160, 9750)]"
161,"[(161, 3548), (161, 4505), (161, 4647), (161, 5618), (161, 7533), (161, 9118)]"
162,"[(162, 1322), (162, 2378), (162, 5253), (162, 7556), (162, 8545)]"
163,"[(163, 964), (163, 5119), (163, 7143), (163, 8271)]"
164,"[(164, 1174), (164, 4581), (164, 5505), (164, 8280), (164, 9207)]"
165,"[(165, 3567), (165, 4433), (165, 7407), (165, 9920)]"
166,"[(166, 2917), (166, 3451), (166, 6101), (166, 9442), (166, 9500)]"
167,"[(167, 7813)]"
168,"[(168, 812), (168, 1742), (168, 4893), (168, 6091), (168, 7672)]"
169,"[(169, 3110), (169, 3133), (169, 4526), (169, 6758), (169, 8050), (169, 8675), (169, 9421)]"
170,"[(170, 920), (170, 3171), (170, 4047), (170, 4213), (170, 6443), (170, 7382), (170, 9744)]"
171,"[(171, 536), (171, 4273), (171, 4572), (171, 5824), (171, 8730), (171, 9938)]"
172,"[(172, 2157), (172, 4209), (172, 4259), (172, 6965), (172, 7026), (172, 7902), (172, 7929), (172, 9013)]"
173,"[(173, 4925), (173, 5680), (173, 7611), (173, 9372)]"
174,"[(174, 1210), (174, 2145), (174, 4229), (174, 5988), (174, 6254), (174, 8220), (174, 9321)]"
175,"[(175, 816), (175, 2133), (175, 2558), (175, 2967), (175, 4744), (175, 6141), (175, 9415)]"
176,"[(176, 4198), (176, 4562), (176, 4631), (176, 5209)]"
177,"[(177, 1440), (177, 3431), (177, 4147), (177, 4786), (177, 8628)]"
178,"[(178, 2355), (178, 4813), (178, 7801)]"
179,"[(179, 1031), (179, 3461), (179, 5476), (179, 6614), (179, 7718)]"
180,"[(180, 99), (180, 1750), (180, 6277), (180, 7374), (180, 8512), (180, 9499)]"
181,"[(181, 823), (181, 894), (181, 2310), (181, 5064), (181, 5098), (181, 9442)]"
182,"[(182, 532), (182, 928), (182, 1859), (182, 2470)]"
183,"[(183, 3364), (183, 3852), (183, 4118), (183, 7092)]"
184,"[(184, 187), (184, 2508), (184, 3296), (184, 4825), (184, 5157)]"
185,"[(185, 7609), (185, 9645)]"
186,"[(186, 2084), (186, 3112), (186, 7128)]"
187,"[(187, 184), (187, 531), (187, 811), (187, 4899), (187, 8485), (187, 9570), (187, 9644)]"
188,"[(188, 3639), (188, 8071), (188, 8209), (188, 9203), (188, 9343)]"
189,"[(189, 4058), (189, 4576), (189, 6757), (189, 7882), (189, 8341)]"
190,"[(190, 123), (190, 3680), (190, 6665)]"
191,"[(191, 3536), (191, 5980), (191, 7349), (191, 7934), (191, 9951)]"
192,"[(192, 5237), (192, 5685), (192, 8122), (192, 9892)]"
193,"[(193, 1290)]"
194,"[(194, 2246), (194, 4562), (194, 5637), (194, 6334), (194, 7678), (194, 8572), (194, 9507)]"
195,"[(195, 1994), (195, 2530), (195, 3675), (195, 3864), (195, 4603), (195, 8400), (195, 9207)]"
196,"[(196, 702), (196, 775), (196, 3720), (196, 4047), (196, 5667), (196, 7932), (196, 9265)]"
197,"[(197, 2032), (197, 5086)]"
198,"[(198, 846), (198, 1363), (198, 1699), (198, 5436), (198, 7205)]"
199,"[(199, 4243), (199, 7632)]"
200,"[(200, 6601), (200, 7545)]"
201,"[(201, 641), (201, 1485), (201, 2713)]"
202,"[(202, 2770), (202, 3096), (202, 3402), (202, 4948), (202, 6295)]"
203,"[(203, 692), (203, 989), (203, 1338), (203, 1383), (203, 1647), (203, 3602), (203, 7692), (203, 8044)]"
204,"[(204, 757), (204, 2017), (204, 3930), (204, 4850), (204, 5586)]"
205,"[(205, 1533), (205, 3732), (205, 7899)]"
206,"[(206, 1527), (206, 2008), (206, 6223)]"
207,"[(207, 1942), (207, 2149), (207, 4313), (207, 4374), (207, 4661), (207, 6117), (207, 7470), (207, 7506), (207, 9697)]"
208,"[(208, 1040), (208, 2646), (208, 3523), (208, 4009), (208, 8494), (208, 9231)]"
209,"[(209, 681), (209, 3790), (209, 4251), (209, 5200), (209, 5665), (209, 9795)]"
210,"[(210, 641), (210, 3070), (210, 7289)]"
211,"[(211, 1515), (211, 5275), (211, 8729)]"
212,"[(212, 43), (212, 1901), (212, 8259), (212, 8731), (212, 9588)]"
213,"[(213, 3190), (213, 3336), (213, 5082), (213, 5280)]"
214,"[(214, 325), (214, 1719), (214, 2803)]"
215,"[(215, 3517), (215, 8741)]"
216,"[(216, 2201), (216, 3923), (216, 3975), (216, 6484)]"
217,"[(217, 2994), (217, 3020), (217, 5433), (217, 7051)]"
218,"[(218, 2926), (218, 3754), (218, 7551), (218, 7901), (218, 8640), (218, 9264)]"
219,"[(219, 579), (219, 1246), (219, 3824), (219, 6739), (219, 6819), (219, 8801)]"
220,"[(220, 2772), (220, 5649), (220, 6760), (220, 7143), (220, 7294), (220, 8520)]"
221,"[(221, 793), (221, 4536), (221, 9816), (221, 9928)]"
222,"[(222, 5136), (222, 5199), (222, 8701)]"
223,"[(223, 147), (223, 334), (223, 950), (223, 4937)]"
224,[]
225,"[(225, 242), (225, 6871), (225, 8887)]"
226,"[(226, 921), (226, 2936), (226, 4656), (226, 4902), (226, 5466), (226, 6560)]"
227,"[(227, 1618), (227, 5733), (227, 6911), (227, 9100)]"
228,"[(228, 2468), (228, 3248), (228, 4981), (228, 5694), (228, 9559)]"
229,"[(229, 819), (229, 1140), (229, 2041), (229, 2528), (229, 7388), (229, 9097)]"
230,"[(230, 685), (230, 1851), (230, 1902), (230, 4159), (230, 4545), (230, 5062), (230, 9636)]"
231,"[(231, 936), (231, 2774), (231, 3739), (231, 4628), (231, 9222)]"
232,"[(232, 60), (232, 568), (232, 629), (232, 1545), (232, 3577), (232, 6234), (232, 9068)]"
233,"[(233, 296), (233, 2793), (233, 3095), (233, 4036), (233, 5699)]"
234,"[(234, 4443), (234, 7919), (234, 8412), (234, 8857)]"
235,"[(235, 266), (235, 1056), (235, 4567), (235, 7801), (235, 9070)]"
236,"[(236, 721), (236, 4180), (236, 4452), (236, 5432), (236, 5483), (236, 9145)]"
237,"[(237, 1647), (237, 2154), (237, 3396), (237, 5209), (237, 6776)]"
238,"[(238, 2647), (238, 6788), (238, 9850), (238, 9858), (238, 9893)]"
239,"[(239, 153), (239, 3709), (239, 4302), (239, 4848)]"
240,"[(240, 630)]"
241,"[(241, 821), (241, 3002), (241, 4498), (241, 5865), (241, 7510), (241, 8348), (241, 9536)]"
242,"[(242, 225), (242, 888), (242, 3115), (242, 3725), (242, 4709), (242, 6361), (242, 8874)]"
243,"[(243, 4168), (243, 4282), (243, 7501)]"
244,"[(244, 49), (244, 1005), (244, 9086)]"
245,"[(245, 1728), (245, 3102), (245, 5656), (245, 9248)]"
246,"[(246, 412), (246, 3138), (246, 3671), (246, 6409), (246, 7333), (246, 9679)]"
247,"[(247, 938), (247, 2005), (247, 4499), (247, 5241), (247, 9076)]"
248,"[(248, 335), (248, 3087), (248, 3963), (248, 4572), (248, 6206), (248, 8610)]"
249,"[(249, 77), (249, 3486), (249, 3946), (249, 4892), (249, 7543), (249, 9029)]"
250,"[(250, 2175), (250, 3932)]"
251,"[(251, 1928), (251, 1971), (251, 2510), (251, 3739), (251, 4274), (251, 5508), (251, 7359)]"
252,[]
253,"[(253, 3909), (253, 7848), (253, 8410), (253, 9034)]"
254,"[(254, 1364), (254, 6374), (254, 6937), (254, 9547)]"
255,"[(255, 3440), (255, 4796), (255, 9576)]"
256,"[(256, 803), (256, 2700), (256, 3608), (256, 4585), (256, 4703), (256, 5791), (256, 6383), (256, 7840)]"
257,"[(257, 2197), (257, 2873), (257, 3962), (257, 4134)]"
258,"[(258, 6093), (258, 8570)]"
259,"[(259, 591), (259, 2359), (259, 2813)]"
260,"[(260, 3304), (260, 5684), (260, 6505)]"
261,"[(261, 896), (261, 1849), (261, 4836), (261, 6385), (261, 6747), (261, 7735), (261, 9974)]"
262,"[(262, 1482), (262, 1963), (262, 2781), (262, 3966)]"
263,"[(263, 1048), (263, 1267), (263, 2287), (263, 2920), (263, 3708), (263, 7567), (263, 8280)]"
264,"[(264, 1163), (264, 3276), (264, 3339), (264, 5308), (264, 5794), (264, 7256), (264, 9607)]"
265,"[(265, 521), (265, 2468), (265, 5760), (265, 8605)]"
266,"[(266, 235), (266, 735), (266, 996), (266, 4060), (266, 5051), (266, 9224)]"
267,"[(267, 1906), (267, 4767), (267, 6922)]"
268,"[(268, 5665), (268, 7194)]"
269,"[(269, 2659), (269, 6424), (269, 8493), (269, 9255)]"
270,"[(270, 1301), (270, 1537), (270, 2235), (270, 2685), (270, 3625), (270, 4245), (270, 4472), (270, 5620), (270, 7901), (270, 8089), (270, 9256)]"
271,"[(271, 451), (271, 1109), (271, 4499), (271, 5034), (271, 5213), (271, 6491), (271, 6976), (271, 7363), (271, 7884), (271, 9600)]"
272,"[(272, 7403), (272, 9120)]"
273,"[(273, 1435), (273, 2850), (273, 2898), (273, 5752), (273, 6564), (273, 8090)]"
274,"[(274, 3302), (274, 4716), (274, 7125)]"
275,"[(275, 3265), (275, 4839), (275, 6875), (275, 8773), (275, 9776)]"
276,"[(276, 5193)]"
277,"[(277, 595), (277, 2951), (277, 4523), (277, 5868)]"
278,"[(278, 2936), (278, 8460)]"
279,"[(279, 617), (279, 1852), (279, 4294), (279, 5768), (279, 5991), (279, 7865)]"
280,"[(280, 1240), (280, 2426), (280, 6658)]"
281,"[(281, 4597), (281, 7010), (281, 8490), (281, 9318)]"
282,"[(282, 1786), (282, 2024), (282, 3254), (282, 4816), (282, 8237), (282, 8668)]"
283,"[(283, 4122), (283, 5565), (283, 5726), (283, 5878)]"
284,"[(284, 483), (284, 1240), (284, 4197), (284, 5052), (284, 5748), (284, 6770), (284, 7587), (284, 9057), (284, 9063)]"
285,"[(285, 3949), (285, 4381), (285, 7778), (285, 8285)]"
286,"[(286, 1869)]"
287,"[(287, 4110), (287, 7853)]"
288,"[(288, 677), (288, 972), (288, 1548), (288, 3963), (288, 4604), (288, 7939), (288, 8923)]"
289,"[(289, 1993), (289, 3970), (289, 6345), (289, 6850), (289, 8406), (289, 9619), (289, 9659)]"
290,"[(290, 3285), (290, 3683), (290, 6611), (290, 7304), (290, 7990)]"
291,"[(291, 1112), (291, 2401), (291, 2930), (291, 6740), (291, 7095), (291, 9562)]"
292,"[(292, 2017), (292, 2480), (292, 4469), (292, 5003), (292, 6316), (292, 6416)]"
293,"[(293, 935), (293, 3500), (293, 5796), (293, 8942)]"
294,"[(294, 4966), (294, 6183), (294, 7833), (294, 8371), (294, 9495), (294, 9672)]"
295,"[(295, 6281), (295, 6351), (295, 6857)]"
296,"[(296, 233), (296, 376), (296, 816), (296, 1170), (296, 2033), (296, 2782), (296, 4689), (296, 5833)]"
297,"[(297, 470), (297, 4480), (297, 5879), (297, 7041), (297, 7987), (297, 8164), (297, 8357), (297, 9563)]"
298,"[(298, 6371), (298, 8118), (298, 9682)]"
299,"[(299, 2488), (299, 2770), (299, 5228), (299, 7532), (299, 9857), (299, 9906)]"
300,"[(300, 1032), (300, 2119), (300, 2275), (300, 2303), (300, 2910), (300, 3383), (300, 4244), (300, 4377), (300, 5971), (300, 6138), (300, 6798), (300, 8455)]"
301,"[(301, 16), (301, 5757), (301, 7287)]"
302,"[(302, 2791), (302, 5392), (302, 6424), (302, 6561), (302, 8786), (302, 9579), (302, 9721)]"
303,"[(303, 1287), (303, 1761), (303, 3902), (303, 5509), (303, 5750), (303, 9139)]"
304,"[(304, 718), (304, 2478), (304, 4964), (304, 7234)]"
305,"[(305, 6407), (305, 7107), (305, 9679)]"
306,"[(306, 1026), (306, 1171), (306, 2837)]"
307,"[(307, 2857), (307, 5239), (307, 5820), (307, 6602), (307, 9324)]"
308,"[(308, 2236), (308, 6029), (308, 8317), (308, 9248), (308, 9485)]"
309,"[(309, 1011), (309, 1087), (309, 1566), (309, 5068), (309, 5497)]"
310,"[(310, 960), (310, 4058), (310, 6889), (310, 7738), (310, 8051)]"
311,"[(311, 1526), (311, 3949), (311, 4910), (311, 6702), (311, 7548), (311, 7608), (311, 7838)]"
312,"[(312, 2396), (312, 2630), (312, 3542), (312, 5367), (312, 6086), (312, 8071), (312, 8209), (312, 8375), (312, 9442), (312, 9989)]"
313,"[(313, 1321), (313, 2268), (313, 4086), (313, 7455), (313, 7847), (313, 9964)]"
314,"[(314, 4105), (314, 9444)]"
315,"[(315, 788), (315, 966), (315, 4258), (315, 5182), (315, 5729), (315, 6783), (315, 9998)]"
316,"[(316, 2599), (316, 7372)]"
317,"[(317, 855), (317, 3132), (317, 7412), (317, 8673), (317, 9394)]"
318,"[(318, 28), (318, 4223), (318, 4488), (318, 4759), (318, 5560), (318, 7603), (318, 9725)]"
319,"[(319, 1114), (319, 5811)]"
320,"[(320, 2057), (320, 9348)]"
321,"[(321, 1254), (321, 1838), (321, 2328), (321, 3638), (321, 4252), (321, 4440), (321, 7459)]"
322,"[(322, 2921), (322, 3558), (322, 3971), (322, 4142), (322, 4804)]"
323,"[(323, 1349), (323, 4907), (323, 5731), (323, 6902)]"
324,"[(324, 1669), (324, 5017)]"
325,"[(325, 214), (325, 1215), (325, 3810), (325, 3942), (325, 5235), (325, 6732), (325, 7403), (325, 9013), (325, 9517), (325, 9606)]"
326,"[(326, 608), (326, 1404), (326, 3211), (326, 4156), (326, 4822), (326, 7382)]"
327,"[(327, 4298), (327, 6855), (327, 9249)]"
328,"[(328, 3637), (328, 9105)]"
329,"[(329, 2811), (329, 4665), (329, 5135), (329, 6387), (329, 7008), (329, 7399)]"
330,"[(330, 2597), (330, 6551)]"
331,"[(331, 4695), (331, 4795), (331, 8084), (331, 8520)]"
332,"[(332, 2261), (332, 3511), (332, 4432), (332, 4589)]"
333,"[(333, 2844), (333, 7721), (333, 9923)]"
334,"[(334, 223), (334, 933), (334, 4304), (334, 4557), (334, 4782), (334, 6374), (334, 9067)]"
335,"[(335, 43), (335, 63), (335, 248), (335, 6146), (335, 6448)]"
336,"[(336, 1713), (336, 4147), (336, 7374), (336, 8878)]"
337,"[(337, 8650)]"
338,"[(338, 2295), (338, 4319), (338, 5387), (338, 5677), (338, 5733), (338, 7068), (338, 8408), (338, 9424)]"
339,"[(339, 2753), (339, 2906), (339, 5162), (339, 8931)]"
340,"[(340, 1498), (340, 1691), (340, 1958), (340, 3609), (340, 4756), (340, 6194), (340, 7933), (340, 8808), (340, 9909)]"
341,"[(341, 3619), (341, 7487), (341, 8119), (341, 8725)]"
342,"[(342, 2927), (342, 4271)]"
343,"[(343, 1372), (343, 3593)]"
344,"[(344, 6582), (344, 7168), (344, 7186), (344, 9319)]"
345,"[(345, 9038)]"
346,"[(346, 1603), (346, 4141)]"
347,"[(347, 1545), (347, 3082), (347, 4675), (347, 5621), (347, 8841)]"
348,"[(348, 4388), (348, 5061), (348, 6202), (348, 9462)]"
349,"[(349, 2405), (349, 5115), (349, 7705), (349, 8996)]"
350,"[(350, 22), (350, 658), (350, 1138), (350, 1391), (350, 2210), (350, 2734), (350, 3140), (350, 3310), (350, 4967), (350, 8568), (350, 8727), (350, 9155)]"
351,"[(351, 3318), (351, 3407), (351, 4504), (351, 6869), (351, 7952), (351, 8096)]"
